"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "SVG", "comment", "blank", "total"
"c:\Users\User\Desktop\navigation-categories-page\src\TablePage\TablePage.module.css", "CSS", 0, 0, 27, 0, 0, 17, 44
"c:\Users\User\Desktop\navigation-categories-page\src\TablePage\TablePage.tsx", "TypeScript JSX", 0, 111, 0, 0, 2, 15, 128
"c:\Users\User\Desktop\navigation-categories-page\src\TablePage\valid-data\valid-data.mock.ts", "TypeScript", 32, 0, 0, 0, 0, 1, 33
"c:\Users\User\Desktop\navigation-categories-page\src\components\Layout\Container\Container.module.css", "CSS", 0, 0, 7, 0, 0, 1, 8
"c:\Users\User\Desktop\navigation-categories-page\src\components\Layout\Container\Container.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 5, 12
"c:\Users\User\Desktop\navigation-categories-page\src\components\Layout\Container\IContainerProps.ts", "TypeScript", 4, 0, 0, 0, 0, 2, 6
"c:\Users\User\Desktop\navigation-categories-page\src\components\Layout\Gap\Gap.tsx", "TypeScript JSX", 0, 6, 0, 0, 0, 4, 10
"c:\Users\User\Desktop\navigation-categories-page\src\components\Layout\Gap\IGapProps.ts", "TypeScript", 3, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\navigation-categories-page\src\components\Products\BrightSelect\BrightSelect.module.css", "CSS", 0, 0, 3, 0, 0, 1, 4
"c:\Users\User\Desktop\navigation-categories-page\src\components\Products\BrightSelect\BrightSelect.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 6, 18
"c:\Users\User\Desktop\navigation-categories-page\src\components\Products\BrightSelect\IBrightSelectProps.ts", "TypeScript", 3, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\navigation-categories-page\src\components\Products\EditProduct\TitltInputPair\ITitledContentProps.ts", "TypeScript", 5, 0, 0, 0, 0, 2, 7
"c:\Users\User\Desktop\navigation-categories-page\src\components\Products\EditProduct\TitltInputPair\TitledContent.module.css", "CSS", 0, 0, 11, 0, 0, 2, 13
"c:\Users\User\Desktop\navigation-categories-page\src\components\Products\EditProduct\TitltInputPair\TitledContent.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 5, 17
"c:\Users\User\Desktop\navigation-categories-page\src\components\Products\Feature\Feature.module.css", "CSS", 0, 0, 10, 0, 0, 2, 12
"c:\Users\User\Desktop\navigation-categories-page\src\components\Products\Feature\Feature.tsx", "TypeScript JSX", 0, 21, 0, 0, 5, 5, 31
"c:\Users\User\Desktop\navigation-categories-page\src\components\Products\Images\IImagesProps.ts", "TypeScript", 3, 0, 0, 0, 0, 1, 4
